sample.id	cluster.id	cluster.name		
AAEK	44	Wine_European_clust2
AAEL	36	Mosaic_region_uncharacterized_clust2
AAEM	89	Wine_European
AAEN	52	African_BeerFood
AAEP	37	Mantou_clust7_Fermentation
AAEQ	8	Beer_European_clust2
AAER	89	Wine_European
AAES	44	Wine_European_clust2
AAET	44	Wine_European_clust2
AAEV	80	Beer_clust2
AAFA	8	Beer_European_clust2
AAFB	8	Beer_European_clust2
AAFC	65	MixedOrigins_clust2
AAFD	27	BrazilianBioethanol_Cachaca
AAFE	65	MixedOrigins_clust2
AAFF	89	Wine_European
AAFG	8	Beer_European_clust2
AAFH	37	Mantou_clust7_Fermentation
AAFI	44	Wine_European_clust2
AAFK	59	Asian_Islands
AAFL	52	African_BeerFood
AAFM	81	Sake
AAFN	81	Sake
AAFP	8	Beer_European_clust2
AAFQ	89	Wine_European
AAFR	27	BrazilianBioethanol_Cachaca
AAFS	8	Beer_European_clust2
AAFT	65	MixedOrigins_clust2
AAFV	44	Wine_European_clust2
AAGA	89	Wine_European
AAGB	66	Beer_AleUK
AAGC	8	Beer_European_clust2
AAGE	83	MixedOrigins_clust4
AAGF	89	Wine_European
AAGG	37	Mantou_clust7_Fermentation
AAGH	89	Wine_European
AAGI	89	Wine_European
AAGK	89	Wine_European
AAGL	89	Wine_European
AAGM	27	BrazilianBioethanol_Cachaca
AAGN	89	Wine_European
AAGP	8	Beer_European_clust2
AAGR	59	Asian_Islands
AAGS	89	Wine_European
AAGT	67	Human_clust5
AAGV	89	Wine_European
AAHA	67	Human_clust5
AAHB	27	BrazilianBioethanol_Cachaca
AAHC	27	BrazilianBioethanol_Cachaca
AAHD	89	Wine_European
AAHE	89	Wine_European
AAHF	89	Wine_European
AAHG	89	Wine_European
AAHH	59	Asian_Islands
AAHI	89	Wine_European
AAHK	44	Wine_European_clust2
AAHL	68	Alpechin(oliveoil)
AAHM	68	Alpechin(oliveoil)
AAHN	89	Wine_European
AAHP	44	Wine_European_clust2
AAHQ	85	Asian_fermentation
AAHR	89	Wine_European
AAHS	26	African_PalmWine_NigeriaGhana
AAHT	89	Wine_European
AAHV	89	Wine_European
AAIA	44	Wine_European_clust2
AAIB	44	Wine_European_clust2
AAIC	44	Wine_European_clust2
AAID	68	Alpechin(oliveoil)
AAIE	68	Alpechin(oliveoil)
AAIF	89	Wine_European
AAIG	8	Beer_European_clust2
AAII	89	Wine_European
AAIK	89	Wine_European
AAIL	89	Wine_European
AAIM	44	Wine_European_clust2
AAIN	89	Wine_European
AAIP	44	Wine_European_clust2
AAIQ	89	Wine_European
AAIR	89	Wine_European
AAIT	89	Wine_European
AAKB	26	African_PalmWine_NigeriaGhana
AAKC	26	African_PalmWine_NigeriaGhana
AAKD	26	African_PalmWine_NigeriaGhana
AAKE	26	African_PalmWine_NigeriaGhana
AAKG	26	African_PalmWine_NigeriaGhana
AAKH	26	African_PalmWine_NigeriaGhana
AAKI	72	Wine_closetoY55
AAKL	85	Asian_fermentation
AAKM	18	Tree_Malaysia
AAKN	64	Tree_PennsylvaniaOak
AAKP	89	Wine_European
AAKQ	89	Wine_European
AAKR	21	AsianFermentation_Huangjiu(chineseRiceWine)_Ecuador
AAKS	3	Wild_America
AAKT	51	MixedOrigins_ClinicalBakery
AAKV	89	Wine_European
AALA	21	AsianFermentation_Huangjiu(chineseRiceWine)_Ecuador
AALB	21	AsianFermentation_Huangjiu(chineseRiceWine)_Ecuador
AALC	21	AsianFermentation_Huangjiu(chineseRiceWine)_Ecuador
AALD	34	Dairy_frenchCheese_Camembert
AALE	89	Wine_European
AALG	3	Wild_America
AALH	21	AsianFermentation_Huangjiu(chineseRiceWine)_Ecuador
AALI	86	Human_FrenchGuiana
AALK	21	AsianFermentation_Huangjiu(chineseRiceWine)_Ecuador
AALL	89	Wine_European
AALM	89	Wine_European
AALN	19	MixedOrigins
AALP	19	MixedOrigins
AALQ	89	Wine_European
AALR	36	Mosaic_region_uncharacterized_clust2
AALS	89	Wine_European
AALT	89	Wine_European
AALV	19	MixedOrigins
AAMA	89	Wine_European
AAMB	3	Wild_America
AAMC	3	Wild_America
AAMD	4	CHN_VI/VII_JapanChina
AAMF	4	CHN_VI/VII_JapanChina
AAMG	83	MixedOrigins_clust4
AAMH	84	Taiwanese_SoilHubaiNantou
AAMI	83	MixedOrigins_clust4
AAMK	83	MixedOrigins_clust4
AAML	83	MixedOrigins_clust4
AAMM	55	CHN_V_Tree
AAMN	19	MixedOrigins
AAMP	89	Wine_European
AAMQ	83	MixedOrigins_clust4
AAMR	89	Wine_European
AAMS	89	Wine_European
AAMT	31	Human_France_Sboulardiisolates
AANA	69	Beer_Africa
AANC	64	Tree_PennsylvaniaOak
AAND	64	Tree_PennsylvaniaOak
AANE	64	Tree_PennsylvaniaOak
AANF	64	Tree_PennsylvaniaOak
AANG	64	Tree_PennsylvaniaOak
AANH	64	Tree_PennsylvaniaOak
AANI	64	Tree_PennsylvaniaOak
AANK	64	Tree_PennsylvaniaOak
AANL	53	African_BeerIvory
AANM	53	African_BeerIvory
AANN	5	WestAfricanCocoa
AANP	83	MixedOrigins_clust4
AANQ	89	Wine_European
AANR	81	Sake
AANS	81	Sake
AANT	81	Sake
AANV	81	Sake
AAPA	81	Sake
AAPC	81	Sake
AAPD	81	Sake
AAPE	81	Sake
AAPF	81	Sake
AAPG	27	BrazilianBioethanol_Cachaca
AAPH	27	BrazilianBioethanol_Cachaca
AAPI	65	MixedOrigins_clust2
AAPK	83	MixedOrigins_clust4
AAPL	80	Beer_clust2
AAPM	65	MixedOrigins_clust2
AAPN	83	MixedOrigins_clust4
AAPP	8	Beer_European_clust2
AAPQ	26	African_PalmWine_NigeriaGhana
AAPR	26	African_PalmWine_NigeriaGhana
AAPS	89	Wine_European
AAPT	89	Wine_European
AAPV	89	Wine_European
AAQA	68	Alpechin(oliveoil)
AAQB	89	Wine_European
AAQC	44	Wine_European_clust2
AAQD	68	Alpechin(oliveoil)
AAQE	44	Wine_European_clust2
AAQG	8	Beer_European_clust2
AAQH	8	Beer_European_clust2
AAQI	65	MixedOrigins_clust2
AAQM	42	Dairy_Tree
AAQN	81	Sake
AAQP	44	Wine_European_clust2
AAQQ	89	Wine_European
AAQR	89	Wine_European
AAQS	85	Asian_fermentation
AAQT	1	Beer_European_BelgiumGermany
AARA	36	Mosaic_region_uncharacterized_clust2
AARB	36	Mosaic_region_uncharacterized_clust2
AARC	89	Wine_European
AARE	8	Beer_European_clust2
AARG	59	Asian_Islands
AARH	59	Asian_Islands
AARI	59	Asian_Islands
AARK	89	Wine_European
AARL	31	Human_France_Sboulardiisolates
AARM	81	Sake
AARN	42	Dairy_Tree
AARP	81	Sake
AARQ	89	Wine_European
AARR	34	Dairy_frenchCheese_Camembert
AARS	22	Dairy_YakGoatCow
AART	44	Wine_European_clust2
AARV	89	Wine_European
AASA	44	Wine_European_clust2
AASB	8	Beer_European_clust2
AASC	52	African_BeerFood
AASD	89	Wine_European
AASE	89	Wine_European
AASG	89	Wine_European
AASH	7	Beer_European_BelgiumGermany_clust2
AASL	65	MixedOrigins_clust2
AASM	70	Asian_qingkejiu
AASN	34	Dairy_frenchCheese_Camembert
AASP	83	MixedOrigins_clust4
AASR	90	Wine_PdM
AASS	89	Wine_European
AAST	89	Wine_European
AASV	89	Wine_European
AATA	89	Wine_European
AATB	43	Human_EuropeSouthAmerica
AATC	57	Human_clust2
AATD	89	Wine_European
AATE	72	Wine_closetoY55
AATH	89	Wine_European
AATM	89	Wine_European
AATN	89	Wine_European
AATP	26	African_PalmWine_NigeriaGhana
AATQ	68	Alpechin(oliveoil)
AATR	65	MixedOrigins_clust2
AATS	83	MixedOrigins_clust4
AATV	66	Beer_AleUK
AAVB	68	Alpechin(oliveoil)
AAVC	81	Sake
AAVD	81	Sake
AAVH	89	Wine_European
AAVI	64	Tree_PennsylvaniaOak
AAVK	89	Wine_European
AAVL	81	Sake
AAVM	81	Sake
AAVN	53	African_BeerIvory
AAVP	53	African_BeerIvory
AAVQ	53	African_BeerIvory
AAVR	53	African_BeerIvory
AAVS	53	African_BeerIvory
AAVT	53	African_BeerIvory
AAVV	87	African_PalmWine_Djibouti_clust2
ABAA	87	African_PalmWine_Djibouti_clust2
ABAB	87	African_PalmWine_Djibouti_clust2
ABAC	87	African_PalmWine_Djibouti_clust2
ABAD	87	African_PalmWine_Djibouti_clust2
ABAE	87	African_PalmWine_Djibouti_clust2
ABAF	23	African_PalmWine_Djibouti
ABAG	45	CHN_II_Shaanxi
ABAH	45	CHN_II_Shaanxi
ABAI	48	CHN_IV_ChinaFarEast
ABAK	48	CHN_IV_ChinaFarEast
ABAL	46	CHN_I_FujianHainan
ABAM	47	CHN_III_RottenWoodHainan
ABAN	55	CHN_V_Tree
ABAP	55	CHN_V_Tree
ABAQ	47	CHN_III_RottenWoodHainan
ABAR	89	Wine_European
ABAS	89	Wine_European
ABAT	89	Wine_European
ABAV	89	Wine_European
ABBA	89	Wine_European
ABBB	89	Wine_European
ABBC	19	MixedOrigins
ABBD	19	MixedOrigins
ABBE	19	MixedOrigins
ABBF	19	MixedOrigins
ABBG	7	Beer_European_BelgiumGermany_clust2
ABBH	89	Wine_European
ABBI	89	Wine_European
ABBK	89	Wine_European
ABBL	71	Tree_Russia
ABBM	14	Tree_SouthAmerica
ABBP	83	MixedOrigins_clust4
ABBQ	33	Tree_MediterraneanOak
ABBR	75	Tree_NorthCarolina
ABBS	33	Tree_MediterraneanOak
ABBT	36	Mosaic_region_uncharacterized_clust2
ABBV	24	Wine_European_clust3
ABCA	31	Human_France_Sboulardiisolates
ABCB	86	Human_FrenchGuiana
ABCC	86	Human_FrenchGuiana
ABCD	86	Human_FrenchGuiana
ABCE	86	Human_FrenchGuiana
ABCF	86	Human_FrenchGuiana
ABCG	86	Human_FrenchGuiana
ABCH	86	Human_FrenchGuiana
ABCI	86	Human_FrenchGuiana
ABCK	86	Human_FrenchGuiana
ABCL	86	Human_FrenchGuiana
ABCM	86	Human_FrenchGuiana
ABCN	86	Human_FrenchGuiana
ABCP	86	Human_FrenchGuiana
ABCQ	86	Human_FrenchGuiana
ABCR	83	MixedOrigins_clust4
ABCS	83	MixedOrigins_clust4
ABCT	83	MixedOrigins_clust4
ABCV	79	Wild_Evolution_canyon_Israel_clust2
ABDA	79	Wild_Evolution_canyon_Israel_clust2
ABDB	79	Wild_Evolution_canyon_Israel_clust2
ABDC	61	Wild_Evolution_canyon_Israel
ABDD	79	Wild_Evolution_canyon_Israel_clust2
ABDE	79	Wild_Evolution_canyon_Israel_clust2
ABDF	61	Wild_Evolution_canyon_Israel
ABDG	61	Wild_Evolution_canyon_Israel
ABDH	79	Wild_Evolution_canyon_Israel_clust2
ABDI	79	Wild_Evolution_canyon_Israel_clust2
ABDK	89	Wine_European
ABDL	50	MixedOrigins_clust3
ABDM	59	Asian_Islands
ABDN	69	Beer_Africa
ABDP	86	Human_FrenchGuiana
ABDQ	86	Human_FrenchGuiana
ABDR	86	Human_FrenchGuiana
ABDS	86	Human_FrenchGuiana
ABDT	86	Human_FrenchGuiana
ABDV	86	Human_FrenchGuiana
ABEA	86	Human_FrenchGuiana
ABEB	86	Human_FrenchGuiana
ABEC	86	Human_FrenchGuiana
ABED	86	Human_FrenchGuiana
ABEE	86	Human_FrenchGuiana
ABEF	85	Asian_fermentation
ABEG	4	CHN_VI/VII_JapanChina
ABEH	85	Asian_fermentation
ABEI	69	Beer_Africa
ABEK	69	Beer_Africa
ABEM	69	Beer_Africa
ABEN	69	Beer_Africa
ABEP	89	Wine_European
ABEQ	38	Wine
ABER	89	Wine_European
ABES	89	Wine_European
ABET	89	Wine_European
ABEV	89	Wine_European
ABFA	3	Wild_America
ABFB	89	Wine_European
ABFC	89	Wine_European
ABFD	89	Wine_European
ABFE	50	MixedOrigins_clust3
ABFG	50	MixedOrigins_clust3
ABFH	34	Dairy_frenchCheese_Camembert
ABFK	89	Wine_European
ABFL	3	Wild_America
